BCC_ID,名称,标签,描述,状态,GPU型号,GPU数量,GPU显存,实例规格,主IPv4私网地址,主IPv4公网地址,IP地址,弹性网卡数量,ipv6地址,CPU（核）,内存（GB）,系统盘（GB）,操作系统名称,操作系统版本,支付方式,所在网络,所在子网,创建时间,到期时间,地域,可用区,密钥对id,密钥对名称
"i-Iqv5wu5S","cce-xrg955qz-e9kr0369","环境:哈密百度云生产,开通人:曹恩润202312621,source:CCE,工程:AI平台,cce-cluster-id:cce-xrg955qz,项目:AI平台,申请人:田新明202413733,工单:40466628-44ff-11f0-97de-8adc659c3927,cce-instance-group-id:cce-ig-gx14sgw9","","运行中","nTeslaH800","8","640GB","bcc.lgn6tcefc.c208m1952.8h800.8re.4d","10.90.1.111","","10.90.1.111(内)  -(公)
","1","","208","1952","400","Ubuntu","22.04 LTS amd64 (64bit)","后付费","VPC-哈密中心资源池-生产区","sn-AI平台-node1","2026-02-28T15:46:08","","\u9633\u6CC9","可用区C","",""
"i-I0O128sy","cce-ig-3pqdablm-ysy6041f-vl8xtr48-1","source:CCE,cce-cluster-id:cce-2ys5dxch,需求人:黄佳,cce-instance-group-id:cce-ig-3pqdablm,业务:数据处理","","运行中","","0","","bcc.g4.c64m256","10.89.0.90","","10.89.0.90(内)  -(公)
","1","","64","256","100","Ubuntu","22.04 LTS amd64 (64bit)","后付费","VPC-哈密中心资源池-生产区","sn-数据处理-node1","2026-02-10T17:24:23","","\u9633\u6CC9","可用区C","",""
"i-dSKVhNfr","cce-ig-3pqdablm-ysy6041f-vl8xtr48-2","source:CCE,cce-cluster-id:cce-2ys5dxch,需求人:黄佳,cce-instance-group-id:cce-ig-3pqdablm,业务:数据处理","","运行中","","0","","bcc.g4.c64m256","10.89.0.86","","10.89.0.86(内)  -(公)
","2","","64","256","100","Ubuntu","22.04 LTS amd64 (64bit)","后付费","VPC-哈密中心资源池-生产区","sn-数据处理-node1","2026-02-10T17:24:23","","\u9633\u6CC9","可用区C","",""
"i-gL13Zie5","cce-ig-3pqdablm-ysy6041f-vl8xtr48-3","source:CCE,cce-cluster-id:cce-2ys5dxch,需求人:黄佳,cce-instance-group-id:cce-ig-3pqdablm,业务:数据处理","","运行中","","0","","bcc.g4.c64m256","10.89.0.88","","10.89.0.88(内)  -(公)
","2","","64","256","100","Ubuntu","22.04 LTS amd64 (64bit)","后付费","VPC-哈密中心资源池-生产区","sn-数据处理-node1","2026-02-10T17:24:23","","\u9633\u6CC9","可用区C","",""
"i-r6bFS5Ns","cce-ig-3pqdablm-ysy6041f-vl8xtr48-4","source:CCE,cce-cluster-id:cce-2ys5dxch,需求人:黄佳,cce-instance-group-id:cce-ig-3pqdablm,业务:数据处理","","运行中","","0","","bcc.g4.c64m256","10.89.0.85","","10.89.0.85(内)  -(公)
","1","","64","256","100","Ubuntu","22.04 LTS amd64 (64bit)","后付费","VPC-哈密中心资源池-生产区","sn-数据处理-node1","2026-02-10T17:24:23","","\u9633\u6CC9","可用区C","",""
"i-m8pYSauj","cce-ig-3pqdablm-ysy6041f-vl8xtr48-5","source:CCE,cce-cluster-id:cce-2ys5dxch,需求人:黄佳,cce-instance-group-id:cce-ig-3pqdablm,业务:数据处理","","运行中","","0","","bcc.g4.c64m256","10.89.0.87","","10.89.0.87(内)  -(公)
","2","","64","256","100","Ubuntu","22.04 LTS amd64 (64bit)","后付费","VPC-哈密中心资源池-生产区","sn-数据处理-node1","2026-02-10T17:24:23","","\u9633\u6CC9","可用区C","",""
"i-yBxw9qEd","cce-ig-3pqdablm-ysy6041f-vl8xtr48-6","source:CCE,cce-cluster-id:cce-2ys5dxch,需求人:黄佳,cce-instance-group-id:cce-ig-3pqdablm,业务:数据处理","","运行中","","0","","bcc.g4.c64m256","10.89.0.89","","10.89.0.89(内)  -(公)
","2","","64","256","100","Ubuntu","22.04 LTS amd64 (64bit)","后付费","VPC-哈密中心资源池-生产区","sn-数据处理-node1","2026-02-10T17:24:23","","\u9633\u6CC9","可用区C","",""
"i-V1U7nQMi","cce-ig-n2n53rim-bwyjvanj-caep2nx6-1","环境:哈密百度云生产,开通人:曹恩润202312621,source:CCE,项目:调度平台,工程:调度平台,申请人:黄佳202505879,cce-cluster-id:cce-2ys5dxch,cce-instance-group-id:cce-ig-n2n53rim","","运行中","","0","","bcc.g4.c84m352","10.89.0.83","","10.89.0.83(内)  -(公)
","2","","84","352","100","Ubuntu","22.04 LTS amd64 (64bit)","后付费","VPC-哈密中心资源池-生产区","sn-数据处理-node1","2026-01-30T11:32:16","","\u9633\u6CC9","可用区C","",""
"i-Ybh1GAIt","cce-ig-n2n53rim-bwyjvanj-caep2nx6-2","环境:哈密百度云生产,开通人:曹恩润202312621,source:CCE,项目:调度平台,工程:调度平台,申请人:黄佳202505879,cce-cluster-id:cce-2ys5dxch,cce-instance-group-id:cce-ig-n2n53rim","","运行中","","0","","bcc.g4.c84m352","10.89.0.84","","10.89.0.84(内)  -(公)
","1","","84","352","100","Ubuntu","22.04 LTS amd64 (64bit)","后付费","VPC-哈密中心资源池-生产区","sn-数据处理-node1","2026-01-30T11:32:16","","\u9633\u6CC9","可用区C","",""
"i-QPM9Ki3A","cce-ig-n2n53rim-bwyjvanj-caep2nx6-3","环境:哈密百度云生产,开通人:曹恩润202312621,source:CCE,项目:调度平台,工程:调度平台,申请人:黄佳202505879,cce-cluster-id:cce-2ys5dxch,cce-instance-group-id:cce-ig-n2n53rim","","运行中","","0","","bcc.g4.c84m352","10.89.0.81","","10.89.0.81(内)  -(公)
","1","","84","352","100","Ubuntu","22.04 LTS amd64 (64bit)","后付费","VPC-哈密中心资源池-生产区","sn-数据处理-node1","2026-01-30T11:32:16","","\u9633\u6CC9","可用区C","",""
"i-SGHa57sd","cce-ig-g7ocxqwl-fdcxf907-o1j4fp1j","工程:闭环,申请人:张霞202002266,source:CCE,开通人:丁一202509531,工单:55c3d00e-2bbb-11f0-936b-1642a3e5fbac,cce-cluster-id:cce-216ima4l,cce-instance-group-id:cce-ig-g7ocxqwl","","运行中","","0","","bcc.g4.c64m256","10.91.0.10","","10.91.0.10(内)  -(公)
","1","","64","256","500","baidulinux","3.0 x86_64 (64bit)","后付费","VPC-哈密中心资源池-生产区","sn-沙盒环境-node1","2026-01-29T11:30:53","","\u9633\u6CC9","可用区C","",""
"i-Y2GKgIOK","CCE-EBC-triton-server-L20-x1f00zrs-kuic0iq7-1","环境:哈密百度云生产,开通人:郑傲宇202410692,source:CCE,cce-cluster-id:cce-p6w3c5z8,工程:推理服务,工单:月度需求,申请人:钦夏孟202405674,团队:融合链路,cce-instance-group-id:cce-ig-xzavk15m","","运行中","nTeslaL20","8","384GB","ehc.lgn7sne.c208m1024.8l20.4re.4d","10.90.128.128","","10.90.128.128(内)  -(公)
","1","","208","1024","500","CentOS","8.4-U1 x86_64 (64bit)","后付费","VPC-哈密中心资源池-生产区","sn-推理服务-node1","2026-01-21T14:42:16","","\u9633\u6CC9","可用区C","",""
"i-arpvOdwJ","CCE-EBC-triton-server-L20-x1f00zrs-kuic0iq7-2","环境:哈密百度云生产,开通人:郑傲宇202410692,source:CCE,cce-cluster-id:cce-p6w3c5z8,工程:推理服务,工单:月度需求,申请人:钦夏孟202405674,团队:融合链路,cce-instance-group-id:cce-ig-xzavk15m","","运行中","nTeslaL20","8","384GB","ehc.lgn7sne.c208m1024.8l20.4re.4d","10.90.128.131","","10.90.128.131(内)  -(公)
","1","","208","1024","500","CentOS","8.4-U1 x86_64 (64bit)","后付费","VPC-哈密中心资源池-生产区","sn-推理服务-node1","2026-01-21T14:42:16","","\u9633\u6CC9","可用区C","",""
"i-YwKO0p30","CCE-EBC-triton-server-L20-x1f00zrs-kuic0iq7-3","环境:哈密百度云生产,开通人:郑傲宇202410692,source:CCE,cce-cluster-id:cce-p6w3c5z8,工程:推理服务,工单:月度需求,申请人:钦夏孟202405674,团队:融合链路,cce-instance-group-id:cce-ig-xzavk15m","","运行中","nTeslaL20","8","384GB","ehc.lgn7sne.c208m1024.8l20.4re.4d","10.90.128.10","","10.90.128.10(内)  -(公)
","2","","208","1024","500","CentOS","8.4-U1 x86_64 (64bit)","后付费","VPC-哈密中心资源池-生产区","sn-推理服务-node1","2026-01-21T14:42:16","","\u9633\u6CC9","可用区C","",""
"i-cscKHDhB","CCE-EBC-triton-server-L20-x1f00zrs-kuic0iq7-4","环境:哈密百度云生产,开通人:郑傲宇202410692,source:CCE,cce-cluster-id:cce-p6w3c5z8,工程:推理服务,工单:月度需求,申请人:钦夏孟202405674,团队:融合链路,cce-instance-group-id:cce-ig-xzavk15m","","运行中","nTeslaL20","8","384GB","ehc.lgn7sne.c208m1024.8l20.4re.4d","10.90.128.8","","10.90.128.8(内)  -(公)
","2","","208","1024","500","CentOS","8.4-U1 x86_64 (64bit)","后付费","VPC-哈密中心资源池-生产区","sn-推理服务-node1","2026-01-21T14:42:16","","\u9633\u6CC9","可用区C","",""
"i-yT8R2Yw1","cce-ig-mkr70i90-s6pgxtt4-m8zfwsd8-1","source:CCE,cce-cluster-id:cce-3nusu9su,cce-instance-group-id:cce-ig-mkr70i90","","运行中","nTeslaL20","8","384GB","ehc.lgn7sne.c208m1024.8l20.4re.4d","10.90.0.68","","10.90.0.68(内)  -(公)
","1","","208","1024","500","Ubuntu","22.04-U1 LTS amd64 (64bit)","后付费","VPC-哈密中心资源池-生产区","sn-AI平台-node1","2026-01-19T15:59:11","","\u9633\u6CC9","可用区C","",""
"i-nv3oG2d1","cce-ig-mkr70i90-s6pgxtt4-m8zfwsd8-2","source:CCE,cce-cluster-id:cce-3nusu9su,cce-instance-group-id:cce-ig-mkr70i90","","运行中","nTeslaL20","8","384GB","ehc.lgn7sne.c208m1024.8l20.4re.4d","10.90.0.62","","10.90.0.62(内)  -(公)
","1","","208","1024","500","Ubuntu","22.04-U1 LTS amd64 (64bit)","后付费","VPC-哈密中心资源池-生产区","sn-AI平台-node1","2026-01-19T15:59:11","","\u9633\u6CC9","可用区C","",""
"i-nH47NivO","cce-ig-n2n53rim-64a3csmd-caep2nx6-1","环境:哈密百度云生产,开通人:曹恩润202312621,source:CCE,项目:调度平台,工程:调度平台,申请人:黄佳202505879,cce-cluster-id:cce-2ys5dxch,cce-instance-group-id:cce-ig-n2n53rim","","运行中","","0","","bcc.g4.c84m352","10.89.0.80","","10.89.0.80(内)  -(公)
","2","","84","352","100","Ubuntu","22.04 LTS amd64 (64bit)","后付费","VPC-哈密中心资源池-生产区","sn-数据处理-node1","2026-01-16T16:04:13","","\u9633\u6CC9","可用区C","",""
