节点名称,实例名称/ID,状态,支付方式,可用区,IP地址,配置/类型,加速芯片类型,加速芯片（已使用/总卡数）,空闲加速芯片卡数,资源申请 | 限制,容器组（已分配/总额度）,节点组,超节点,Kubelet版本/Runtime版本/OS版本,创建时间
10.89.0.83,cce-ig-n2n53rim-bwyjvanj-caep2nx6-1 / i-V1U7nQMi,可用,后付费,可用区C,10.89.0.83,84核/352GB/100GB/g4,,"""0/0""",0,"CPU: - | - 
内存: - | -",- / -,cpu-星环数据处理84c352Gi（cce-ig-n2n53rim）,,-,2026-01-30 11:32:19
10.89.0.84,cce-ig-n2n53rim-bwyjvanj-caep2nx6-2 / i-Ybh1GAIt,可用,后付费,可用区C,10.89.0.84,84核/352GB/100GB/g4,,"""0/0""",0,"CPU: - | - 
内存: - | -",- / -,cpu-星环数据处理84c352Gi（cce-ig-n2n53rim）,,-,2026-01-30 11:32:19
10.89.0.81,cce-ig-n2n53rim-bwyjvanj-caep2nx6-3 / i-QPM9Ki3A,可用,后付费,可用区C,10.89.0.81,84核/352GB/100GB/g4,,"""0/0""",0,"CPU: - | - 
内存: - | -",- / -,cpu-星环数据处理84c352Gi（cce-ig-n2n53rim）,,-,2026-01-30 11:32:19
10.89.0.78,cce-ig-n2n53rim-64a3csmd-caep2nx6-2 / i-B6VKkWk0,可用,后付费,可用区C,10.89.0.78,84核/352GB/100GB/g4,,"""0/0""",0,"CPU: - | - 
内存: - | -",- / -,cpu-星环数据处理84c352Gi（cce-ig-n2n53rim）,,-,2026-01-16 16:04:20
10.89.0.79,cce-ig-n2n53rim-64a3csmd-caep2nx6-3 / i-2MCQ2ayR,可用,后付费,可用区C,10.89.0.79,84核/352GB/100GB/g4,,"""0/0""",0,"CPU: - | - 
内存: - | -",- / -,cpu-星环数据处理84c352Gi（cce-ig-n2n53rim）,,-,2026-01-16 16:04:20
10.89.0.80,cce-ig-n2n53rim-64a3csmd-caep2nx6-1 / i-nH47NivO,可用,后付费,可用区C,10.89.0.80,84核/352GB/100GB/g4,,"""0/0""",0,"CPU: - | - 
内存: - | -",- / -,cpu-星环数据处理84c352Gi（cce-ig-n2n53rim）,,-,2026-01-16 16:04:20
10.89.0.45,cce-ig-n2n53rim-iqievscp-caep2nx6-2 / i-GpUDDpDJ,可用,后付费,可用区C,10.89.0.45,84核/352GB/100GB/g4,,"""0/0""",0,"CPU: - | - 
内存: - | -",- / -,cpu-星环数据处理84c352Gi（cce-ig-n2n53rim）,,-,2026-01-16 14:16:27
10.89.0.77,cce-ig-n2n53rim-iqievscp-caep2nx6-1 / i-UUK1S3QX,可用,后付费,可用区C,10.89.0.77,84核/352GB/100GB/g4,,"""0/0""",0,"CPU: - | - 
内存: - | -",- / -,cpu-星环数据处理84c352Gi（cce-ig-n2n53rim）,,-,2026-01-16 14:16:26
10.89.0.74,cce-ig-n2n53rim-iqievscp-caep2nx6-3 / i-4CQsvD5o,可用,后付费,可用区C,10.89.0.74,84核/352GB/100GB/g4,,"""0/0""",0,"CPU: - | - 
内存: - | -",- / -,cpu-星环数据处理84c352Gi（cce-ig-n2n53rim）,,-,2026-01-16 14:16:26
10.89.0.50,cce-ig-n2n53rim-iqievscp-caep2nx6-5 / i-8gzRsho9,可用,后付费,可用区C,10.89.0.50,84核/352GB/100GB/g4,,"""0/0""",0,"CPU: - | - 
内存: - | -",- / -,cpu-星环数据处理84c352Gi（cce-ig-n2n53rim）,,-,2026-01-16 14:16:26
10.89.0.75,cce-ig-n2n53rim-iqievscp-caep2nx6-4 / i-j1NUcCEP,可用,后付费,可用区C,10.89.0.75,84核/352GB/100GB/g4,,"""0/0""",0,"CPU: - | - 
内存: - | -",- / -,cpu-星环数据处理84c352Gi（cce-ig-n2n53rim）,,-,2026-01-16 14:16:26
10.89.0.76,cce-ig-n2n53rim-iqievscp-caep2nx6-6 / i-5Wm65oRE,可用,后付费,可用区C,10.89.0.76,84核/352GB/100GB/g4,,"""0/0""",0,"CPU: - | - 
内存: - | -",- / -,cpu-星环数据处理84c352Gi（cce-ig-n2n53rim）,,-,2026-01-16 14:16:26
10.89.0.73,cce-ig-n2n53rim-iqievscp-caep2nx6-7 / i-TZbqgXmf,可用,后付费,可用区C,10.89.0.73,84核/352GB/100GB/g4,,"""0/0""",0,"CPU: - | - 
内存: - | -",- / -,cpu-星环数据处理84c352Gi（cce-ig-n2n53rim）,,-,2026-01-16 14:16:26
10.90.128.47,L20-dev / i-Qdox90Xf,可用,后付费,可用区C,10.90.128.47,208核/1024GB/500GB/lgn7sne,nTeslaL20,"""0/8""",0,"CPU: - | - 
内存: - | -",- / -,L20-nodepool（cce-ig-49zcib7u）,,-,2026-01-14 17:43:09
10.90.128.15,CCE-EBC-triton-server-L20-tianshu-llm-l91vcjqd-sxfht1bl-6 / i-NYDYGYz6,可用,后付费,可用区C,10.90.128.15,208核/1024GB/500GB/lgn7sne,nTeslaL20,"""0/8""",0,"CPU: - | - 
内存: - | -",- / -,L20-nodepool（cce-ig-49zcib7u）,,-,2026-01-08 18:09:41
10.90.128.44,CCE-EBC-triton-server-L20-yqdwjnbx-5uuvqlpf-18 / i-hhzsQ4hL,可用,后付费,可用区C,10.90.128.44,208核/1024GB/500GB/lgn7sne,nTeslaL20,"""0/8""",0,"CPU: - | - 
内存: - | -",- / -,L20-nodepool（cce-ig-49zcib7u）,,-,2026-01-07 18:48:56
10.89.0.39,cce-ig-n2n53rim-uhvp9dqm-caep2nx6-3 / i-Ji1K1hIj,可用,后付费,可用区C,10.89.0.39,84核/352GB/100GB/g4,,"""0/0""",0,"CPU: - | - 
内存: - | -",- / -,cpu-星环数据处理84c352Gi（cce-ig-n2n53rim）,,-,2026-01-07 12:26:19
10.90.128.73,cce-ig-ld7crc5z-0cu9gwth-jjpo3wr5 / i-9MJxVpvj,可用,后付费,可用区C,10.90.128.73,208核/1024GB/500GB/lgn7sne,nTeslaL20,"""0/8""",0,"CPU: - | - 
内存: - | -",- / -,L20-nodepool（cce-ig-49zcib7u）,,-,2025-12-17 15:11:13
10.90.128.75,cce-ig-ld7crc5z-m9fx8xog-jjpo3wr5-3 / i-h6QGD4Et,可用,后付费,可用区C,10.90.128.75,208核/1024GB/500GB/lgn7sne,nTeslaL20,"""0/8""",0,"CPU: - | - 
内存: - | -",- / -,L20-nodepool（cce-ig-49zcib7u）,,-,2025-12-17 15:11:13
10.89.0.42,cce-ig-49zcib7u-o9pbm89z-92wz24nr / i-a2nexgF6,可用,后付费,可用区C,10.89.0.42,208核/1024GB/500GB/lgn7sne,nTeslaL20,"""0/8""",0,"CPU: - | - 
内存: - | -",- / -,L20-nodepool（cce-ig-49zcib7u）,,-,2025-12-17 11:35:35
10.90.128.72,cce-ig-ld7crc5z-hc7bbvns-jjpo3wr5-1 / i-ipFCn59t,可用,后付费,可用区C,10.90.128.72,208核/1024GB/500GB/lgn7sne,nTeslaL20,"""0/8""",0,"CPU: - | - 
内存: - | -",- / -,L20-nodepool（cce-ig-49zcib7u）,,-,2025-12-16 18:42:46
10.90.128.74,cce-ig-ld7crc5z-m9fx8xog-jjpo3wr5-2 / i-p4E77J6C,可用,后付费,可用区C,10.90.128.74,208核/1024GB/500GB/lgn7sne,nTeslaL20,"""0/8""",0,"CPU: - | - 
内存: - | -",- / -,L20-nodepool（cce-ig-49zcib7u）,,-,2025-12-16 18:42:46
10.89.0.41,cce-ig-n2n53rim-kptv5g1b-caep2nx6-1 / i-Gj0MO9So,可用,后付费,可用区C,10.89.0.41,84核/352GB/100GB/g4,,"""0/0""",0,"CPU: - | - 
内存: - | -",- / -,cpu-星环数据处理84c352Gi（cce-ig-n2n53rim）,,-,2025-12-16 09:09:20
10.89.0.40,cce-ig-n2n53rim-kptv5g1b-caep2nx6-2 / i-vPuKKZyj,可用,后付费,可用区C,10.89.0.40,84核/352GB/100GB/g4,,"""0/0""",0,"CPU: - | - 
内存: - | -",- / -,cpu-星环数据处理84c352Gi（cce-ig-n2n53rim）,,-,2025-12-16 09:09:20
10.90.128.123,CCE-EBC-triton-server-L20-fucabr7m-u5esp1do-1 / i-f287DZ8n,可用,后付费,可用区C,10.90.128.123,208核/1024GB/500GB/lgn7sne,nTeslaL20,"""0/8""",0,"CPU: - | - 
内存: - | -",- / -,L20-nodepool（cce-ig-49zcib7u）,,-,2025-12-02 10:57:00
10.90.128.117,CCE-EBC-triton-server-L20-80wb5vvm-u5esp1do-16 / i-vJZyYmDx,可用,后付费,可用区C,10.90.128.117,208核/1024GB/500GB/lgn7sne,nTeslaL20,"""0/8""",0,"CPU: - | - 
内存: - | -",- / -,L20-nodepool（cce-ig-49zcib7u）,,-,2025-12-02 10:57:00
10.90.128.120,CCE-EBC-triton-server-L20-6wn0n0uh-u5esp1do / i-9dbYoh29,可用,后付费,可用区C,10.90.128.120,208核/1024GB/500GB/lgn7sne,nTeslaL20,"""0/8""",0,"CPU: - | - 
内存: - | -",- / -,L20-nodepool（cce-ig-49zcib7u）,,-,2025-12-02 10:57:00
10.90.128.115,CCE-EBC-triton-server-L20-80wb5vvm-u5esp1do-06 / i-jugwOn8r,可用,后付费,可用区C,10.90.128.115,208核/1024GB/500GB/lgn7sne,nTeslaL20,"""0/8""",0,"CPU: - | - 
内存: - | -",- / -,L20-nodepool（cce-ig-49zcib7u）,,-,2025-11-27 14:03:57
10.90.128.113,CCE-EBC-triton-server-L20-80wb5vvm-u5esp1do-08 / i-go6CzUJD,可用,后付费,可用区C,10.90.128.113,208核/1024GB/500GB/lgn7sne,nTeslaL20,"""0/8""",0,"CPU: - | - 
内存: - | -",- / -,L20-nodepool（cce-ig-49zcib7u）,,-,2025-11-27 14:03:57
10.90.128.112,CCE-EBC-triton-server-L20-80wb5vvm-u5esp1do-10 / i-JWl79Cd6,可用,后付费,可用区C,10.90.128.112,208核/1024GB/500GB/lgn7sne,nTeslaL20,"""0/8""",0,"CPU: - | - 
内存: - | -",- / -,L20-nodepool（cce-ig-49zcib7u）,,-,2025-11-27 14:03:57
10.90.128.118,CCE-EBC-triton-server-L20-80wb5vvm-u5esp1do-12 / i-Vv64hyWq,可用,后付费,可用区C,10.90.128.118,208核/1024GB/500GB/lgn7sne,nTeslaL20,"""0/8""",0,"CPU: - | - 
内存: - | -",- / -,L20-nodepool（cce-ig-49zcib7u）,,-,2025-11-27 14:03:57
10.90.128.114,CCE-EBC-triton-server-L20-80wb5vvm-u5esp1do-13 / i-LzG79Q9S,可用,后付费,可用区C,10.90.128.114,208核/1024GB/500GB/lgn7sne,nTeslaL20,"""0/8""",0,"CPU: - | - 
内存: - | -",- / -,L20-nodepool（cce-ig-49zcib7u）,,-,2025-11-27 14:03:57
10.90.128.119,CCE-EBC-triton-server-L20-80wb5vvm-u5esp1do-28 / i-EedTWv4D,可用,后付费,可用区C,10.90.128.119,208核/1024GB/500GB/lgn7sne,nTeslaL20,"""0/8""",0,"CPU: - | - 
内存: - | -",- / -,L20-nodepool（cce-ig-49zcib7u）,,-,2025-11-27 14:03:57
10.90.128.116,CCE-EBC-triton-server-L20-80wb5vvm-u5esp1do-30 / i-q6H55I7p,可用,后付费,可用区C,10.90.128.116,208核/1024GB/500GB/lgn7sne,nTeslaL20,"""0/8""",0,"CPU: - | - 
