节点名称,实例名称/ID,状态,支付方式,可用区,IP地址,配置/类型,加速芯片类型,加速芯片（已使用/总卡数）,空闲加速芯片卡数,资源申请 | 限制,容器组（已分配/总额度）,节点组,超节点,Kubelet版本/Runtime版本/OS版本,创建时间
10.90.0.120,cce-ig-kriq8lhi-rc0aftjl-ucjp8ccr-1 / i-rb2TpgX2,可用,后付费,可用区C,10.90.0.120,208核/1952GB/500GB/lgn6tcefc,H800,"""0/8""",0,"CPU: - | - 
内存: - | -",- / -,h800（cce-ig-csxri4ds）,,-,2026-02-28 16:07:11
10.89.0.163,cce-ig-49zcib7u-x855t3lz-92wz24nr-4 / i-UhB4Cwuq,可用,后付费,可用区C,10.89.0.163,208核/1024GB/500GB/lgn7sne,nTeslaL20,"""0/8""",0,"CPU: - | - 
内存: - | -",- / -,L20（cce-ig-mkr70i90）,,-,2026-02-05 15:34:05
10.90.0.173,cce-uk1zi507-xdxdgbit / i-Sl2b1LXi,可用,后付费,可用区C,10.90.0.173,208核/2048GB/500GB/lgn7tne,nTeslaH20,"""0/8""",0,"CPU: - | - 
内存: - | -",- / -,,,-,2026-01-26 17:56:14
10.90.0.171,cce-uk1zi507-dtqakit3 / i-jZMwfC6A,可用,后付费,可用区C,10.90.0.171,208核/2048GB/500GB/lgn7tne,nTeslaH20,"""0/8""",0,"CPU: - | - 
内存: - | -",- / -,h20（cce-ig-nm2sh7z6）,,-,2026-01-26 17:04:33
10.90.0.153,cce-uk1zi507-td07s6jk / i-yPnmgHfQ,可用,后付费,可用区C,10.90.0.153,208核/2048GB/500GB/lgn7tne,nTeslaH20,"""0/8""",0,"CPU: - | - 
内存: - | -",- / -,h20（cce-ig-nm2sh7z6）,,-,2026-01-26 17:04:33
10.90.0.128,CCE-BBC-ai-platform-H20-feirl9t5-lfrfvmqn / i-SSIyUG4W,可用,后付费,可用区C,10.90.0.128,208核/2048GB/100GB/lgn7tne,nTeslaH20,"""0/8""",0,"CPU: - | - 
内存: - | -",- / -,h20（cce-ig-nm2sh7z6）,,-,2026-01-26 16:41:39
10.90.0.157,cce-uk1zi507-cwq7ekw8 / i-hWV4ZNyU,可用,后付费,可用区C,10.90.0.157,208核/2048GB/500GB/lgn7tne,nTeslaH20,"""0/8""",0,"CPU: - | - 
内存: - | -",- / -,h20（cce-ig-nm2sh7z6）,,-,2026-01-26 16:41:39
10.90.0.170,cce-uk1zi507-0gyo2ml9 / i-FinGHL0U,可用,后付费,可用区C,10.90.0.170,208核/2048GB/500GB/lgn7tne,nTeslaH20,"""0/8""",0,"CPU: - | - 
内存: - | -",- / -,h20（cce-ig-nm2sh7z6）,,-,2026-01-26 16:41:39
10.90.0.149,cce-uk1zi507-ardt4fbq / i-PH2gmAky,可用,后付费,可用区C,10.90.0.149,208核/2048GB/500GB/lgn7tne,nTeslaH20,"""0/8""",0,"CPU: - | - 
内存: - | -",- / -,h20（cce-ig-nm2sh7z6）,,-,2026-01-26 16:41:39
10.90.0.165,cce-uk1zi507-0d2chc19 / i-ferJKaoW,可用,后付费,可用区C,10.90.0.165,208核/2048GB/500GB/lgn7tne,nTeslaH20,"""0/8""",0,"CPU: - | - 
内存: - | -",- / -,h20（cce-ig-nm2sh7z6）,,-,2026-01-26 16:41:39
10.90.0.142,cce-uk1zi507-31tfxzkb / i-utbFQJIO,可用,后付费,可用区C,10.90.0.142,208核/2048GB/500GB/lgn7tne,nTeslaH20,"""0/8""",0,"CPU: - | - 
内存: - | -",- / -,h20（cce-ig-nm2sh7z6）,,-,2026-01-26 16:41:39
10.90.0.140,cce-uk1zi507-byl87be5 / i-VSBVnV0I,可用,后付费,可用区C,10.90.0.140,208核/2048GB/500GB/lgn7tne,nTeslaH20,"""0/8""",0,"CPU: - | - 
内存: - | -",- / -,h20（cce-ig-nm2sh7z6）,,-,2026-01-26 16:41:39
10.90.0.154,cce-uk1zi507-5mtxwoc6 / i-t23mz2cK,可用,后付费,可用区C,10.90.0.154,208核/2048GB/500GB/lgn7tne,nTeslaH20,"""0/8""",0,"CPU: - | - 
内存: - | -",- / -,h20（cce-ig-nm2sh7z6）,,-,2026-01-26 16:41:39
10.90.0.62,cce-ig-mkr70i90-s6pgxtt4-m8zfwsd8-2 / i-nv3oG2d1,可用,后付费,可用区C,10.90.0.62,208核/1024GB/500GB/lgn7sne,nTeslaL20,"""0/8""",0,"CPU: - | - 
