节点名称,实例名称/ID,状态,支付方式,可用区,IP地址,配置/类型,加速芯片类型,加速芯片（已使用/总卡数）,空闲加速芯片卡数,资源申请 | 限制,容器组（已分配/总额度）,节点组,超节点,Kubelet版本/Runtime版本/OS版本,创建时间
10.89.0.23,cce-ig-n2n53rim-ligindqy-caep2nx6-17 / i-ljYx8sMz,可用,后付费,可用区C,10.89.0.23,84核/352GB/200GB/g4,,"""0/0""",0,"CPU: 76.50% | 197.86% 
内存: 92.46% | 140.36%","""17/128""",worker-python-84c352g（cce-ig-bjjcpy8k）,,"v1.30.1
containerd://1.6.36
Ubuntu 22.04.1 LTS",2025-10-10 10:15:19
10.89.0.24,cce-ig-n2n53rim-ligindqy-caep2nx6-02 / i-bNSbzE8e,可用,后付费,可用区C,10.89.0.24,84核/352GB/100GB/g4,,"""0/0""",0,"CPU: 66.98% | 174.05% 
内存: 80.91% | 123.03%","""16/128""",worker-python-84c352g（cce-ig-bjjcpy8k）,,"v1.30.1
containerd://1.6.36
Ubuntu 22.04.1 LTS",2025-10-10 10:15:19
10.89.0.25,cce-ig-n2n53rim-ligindqy-caep2nx6-15 / i-PgJ4HYSL,可用,后付费,可用区C,10.89.0.25,84核/352GB/100GB/g4,,"""0/0""",0,"CPU: 57.45% | 150.24% 
内存: 69.36% | 105.71%","""15/128""",worker-python-84c352g（cce-ig-bjjcpy8k）,,"v1.30.1
containerd://1.6.36
Ubuntu 22.04.1 LTS",2025-10-10 10:15:19
10.89.0.26,cce-ig-n2n53rim-ligindqy-caep2nx6-22 / i-QlcZVm5s,可用,后付费,可用区C,10.89.0.26,84核/352GB/100GB/g4,,"""0/0""",0,"CPU: 57.45% | 150.24% 
内存: 69.36% | 105.71%","""15/128""",worker-python-84c352g（cce-ig-bjjcpy8k）,,"v1.30.1
containerd://1.6.36
Ubuntu 22.04.1 LTS",2025-10-10 10:15:19
10.89.0.27,cce-ig-n2n53rim-ligindqy-caep2nx6-01 / i-JlO7GYeX,可用,后付费,可用区C,10.89.0.27,84核/352GB/100GB/g4,,"""0/0""",0,"CPU: 59.95% | 155.24% 
内存: 70.55% | 108.08%","""16/128""",worker-python-84c352g（cce-ig-bjjcpy8k）,,"v1.30.1
containerd://1.6.36
Ubuntu 22.04.1 LTS",2025-10-10 10:15:19
10.89.0.28,cce-ig-n2n53rim-ligindqy-caep2nx6-06 / i-AQ0MFA1E,可用,后付费,可用区C,10.89.0.28,84核/352GB/100GB/g4,,"""0/0""",0,"CPU: 66.98% | 174.05% 
内存: 80.91% | 123.03%","""16/128""",worker-python-84c352g（cce-ig-bjjcpy8k）,,"v1.30.1
containerd://1.6.36
Ubuntu 22.04.1 LTS",2025-10-10 10:15:19
10.90.0.80,cce-ig-n5aki70w-z28b7j0e-olxa9pf0-1 / i-oztykVOx,可用,后付费,可用区C,10.90.0.80,64核/256GB/500GB/g4,,"""0/0""",0,"CPU: 65.25% | 148.75% 
内存: 42.58% | 116.77%","""25/128""",nodepool-闭环-cpu-static-64C256G500G500G（cce-ig-n5aki70w）,,"v1.30.1
containerd://1.7.25
CentOS Linux 7 (Core)",2025-09-03 17:54:41
10.90.0.81,cce-ig-n5aki70w-z28b7j0e-olxa9pf0-4 / i-gvXRP9PV,可用,后付费,可用区C,10.90.0.81,64核/256GB/500GB/g4,,"""0/0""",0,"CPU: 81.66% | 133.12% 
内存: 43.77% | 82.63%","""23/128""",nodepool-闭环-cpu-static-64C256G500G500G（cce-ig-n5aki70w）,,"v1.30.1
containerd://1.7.25
CentOS Linux 7 (Core)",2025-09-03 17:54:41
10.90.0.78,cce-ig-n5aki70w-z28b7j0e-olxa9pf0-2 / i-lRI9OkDD,可用,后付费,可用区C,10.90.0.78,64核/256GB/500GB/g4,,"""0/0""",0,"CPU: 76.19% | 145.62% 
内存: 44.96% | 87.39%","""22/128""",nodepool-闭环-cpu-static-64C256G500G500G（cce-ig-n5aki70w）,,"v1.30.1
containerd://1.7.25
CentOS Linux 7 (Core)",2025-09-03 17:54:41
10.90.0.79,cce-ig-n5aki70w-z28b7j0e-olxa9pf0-3 / i-0tbuvpkD,可用,后付费,可用区C,10.90.0.79,64核/256GB/500GB/g4,,"""0/0""",0,"CPU: 66.03% | 145.62% 
内存: 36.62% | 101.68%","""23/128""",nodepool-闭环-cpu-static-64C256G500G500G（cce-ig-n5aki70w）,,"v1.30.1
containerd://1.7.25
CentOS Linux 7 (Core)",2025-09-03 17:54:41
