节点名称,实例名称/ID,状态,支付方式,可用区,IP地址,配置/类型,加速芯片类型,加速芯片（已使用/总卡数）,空闲加速芯片卡数,资源申请 | 限制,容器组（已分配/总额度）,节点组,超节点,Kubelet版本/Runtime版本/OS版本,创建时间
10.90.128.27,CCE-EBC-triton-server-L20-wp9co1l7-5uuvqlpf-06 / i-RGvBjtch,可用,后付费,可用区C,10.90.128.27,208核/1024GB/500GB/lgn7sne,nTeslaL20,"""0/8""",0,"CPU: 77.03% | 84.33% 
内存: 51.39% | 54.48%","""26/128""",NP-L20-融合链路/数据运营-CUDA12.8.0（cce-ig-xzavk15m）,,"v1.28.8
containerd://1.6.36
CentOS Linux 8",2026-02-28 19:14:06
10.90.128.6,CCE-EBC-triton-server-L20-bgbm5onz-5uuvqlpf-1 / i-t4Dh574t,可用,后付费,可用区C,10.90.128.6,208核/1024GB/500GB/lgn7sne,nTeslaL20,"""0/8""",0,"CPU: 82.80% | 90.10% 
内存: 51.39% | 54.48%","""26/128""",NP-L20-融合链路/数据运营-CUDA12.8.0（cce-ig-xzavk15m）,,"v1.28.8
containerd://1.6.36
CentOS Linux 8",2026-02-28 19:14:06
10.90.128.40,CCE-EBC-triton-server-L20-yqdwjnbx-5uuvqlpf-15 / i-c2KogmM9,可用,后付费,可用区C,10.90.128.40,208核/1024GB/500GB/lgn7sne,nTeslaL20,"""0/8""",0,"CPU: 85.68% | 92.98% 
内存: 51.39% | 54.48%","""26/128""",NP-L20-融合链路/数据运营-CUDA12.8.0（cce-ig-xzavk15m）,,"v1.28.8
containerd://1.6.36
CentOS Linux 8",2026-02-28 19:14:06
10.90.128.105,CCE-EBC-triton-server-H20-tianshu-llm-gaf14tah-k1261nr6 / i-qHtrTdgb,可用,后付费,可用区C,10.90.128.105,208核/2048GB/500GB/lgn7tne,nTeslaH20,"""0/8""",0,"CPU: 62.60% | 69.42% 
内存: 63.80% | 65.29%","""19/128""",NP-H20-天枢大模型（cce-ig-rbtrwee7）,,"v1.28.8
containerd://1.6.36
CentOS Linux 8",2026-02-28 18:37:39
10.90.1.16,cce-uk1zi507-euij4oh6 / i-DwwVdj3z,可用,后付费,可用区C,10.90.1.16,208核/2048GB/500GB/lgn7tne,nTeslaH20,"""0/8""",0,"CPU: 62.60% | 69.42% 
内存: 63.80% | 65.29%","""18/128""",NP-H20-天枢大模型（cce-ig-rbtrwee7）,,"v1.28.8
containerd://1.6.36
CentOS Linux 8",2026-02-28 18:37:39
10.90.1.7,cce-uk1zi507-qfrzzofx / i-BTnqMfd3,可用,后付费,可用区C,10.90.1.7,208核/2048GB/500GB/lgn7tne,nTeslaH20,"""0/8""",0,"CPU: 62.60% | 69.42% 
内存: 63.80% | 65.29%","""19/128""",NP-H20-天枢大模型（cce-ig-rbtrwee7）,,"v1.28.8
containerd://1.6.36
CentOS Linux 8",2026-02-28 18:37:39
10.90.128.41,CCE-EBC-triton-server-L20-yqdwjnbx-5uuvqlpf-11 / i-irQjZE1L,可用,后付费,可用区C,10.90.128.41,208核/1024GB/500GB/lgn7sne,nTeslaL20,"""0/8""",0,"CPU: 79.96% | 89.13% 
内存: 51.40% | 54.88%","""27/128""",NP-L20-融合链路/数据运营-CUDA12.8.0（cce-ig-xzavk15m）,,"v1.28.8
containerd://1.6.36
CentOS Linux 8",2026-02-28 18:02:07
10.90.128.28,CCE-EBC-triton-server-L20-wp9co1l7-5uuvqlpf-04 / i-ir9yqRi6,可用,后付费,可用区C,10.90.128.28,208核/1024GB/500GB/lgn7sne,nTeslaL20,"""0/8""",0,"CPU: 85.68% | 92.98% 
内存: 51.39% | 54.48%","""26/128""",NP-L20-融合链路/数据运营-CUDA12.8.0（cce-ig-xzavk15m）,,"v1.28.8
containerd://1.6.36
CentOS Linux 8",2026-02-27 15:55:14
10.90.128.78,cce-ig-ld7crc5z-m9fx8xog-jjpo3wr5-1 / i-TuRAo0Ec,可用,后付费,可用区C,10.90.128.78,208核/1024GB/500GB/lgn7sne,nTeslaL20,"""0/8""",0,"CPU: 85.68% | 92.98% 
内存: 51.39% | 54.48%","""26/128""",NP-L20-融合链路/数据运营-CUDA12.8.0（cce-ig-xzavk15m）,,"v1.28.8
containerd://1.6.36
CentOS Linux 8",2026-01-22 14:13:14
10.90.128.80,CCE-EBC-triton-server-L20-vkbfmdgl-u5esp1do-20 / i-5FYzBvZR,可用,后付费,可用区C,10.90.128.80,208核/1024GB/500GB/lgn7sne,nTeslaL20,"""0/8""",0,"CPU: 82.80% | 90.10% 
内存: 51.39% | 54.48%","""26/128""",NP-L20-融合链路/数据运营-CUDA12.8.0（cce-ig-xzavk15m）,,"v1.28.8
containerd://1.6.36
CentOS Linux 8",2026-01-22 14:13:14
