节点名称,实例名称/ID,状态,支付方式,可用区,IP地址,配置/类型,加速芯片类型,加速芯片（已使用/总卡数）,空闲加速芯片卡数,资源申请 | 限制,容器组（已分配/总额度）,节点组,超节点,Kubelet版本/Runtime版本/OS版本,创建时间
10.90.1.111,cce-xrg955qz-e9kr0369 / i-Iqv5wu5S,可用,后付费,可用区C,10.90.1.111,208核/1952GB/400GB/lgn6tcefc,nTeslaH800,"""0/8""",0,"CPU: - | - 
内存: - | -",- / -,H800-nodepool-new（cce-ig-gx14sgw9）,,-,2026-02-28 15:44:50
10.90.0.245,cce-uk1zi507-yhqat7rz / i-A3p7AEBl,可用,后付费,可用区C,10.90.0.245,208核/1952GB/500GB/lgn6tcefc,H800,"""0/8""",0,"CPU: - | - 
内存: - | -",- / -,H800-nodepool-new（cce-ig-gx14sgw9）,,-,2026-02-06 10:56:37
10.90.0.225,cce-uk1zi507-v5jybhyj / i-mqvcM10x,可用,后付费,可用区C,10.90.0.225,208核/1952GB/500GB/lgn6tcefc,H800,"""0/8""",0,"CPU: - | - 
内存: - | -",- / -,H800-nodepool-new（cce-ig-gx14sgw9）,,-,2026-02-02 17:14:21
10.90.0.70,CCE-BBC-ai-platform-H20-wvvd9i61-lfrfvmqn-2 / i-kaAZgh21,可用,后付费,可用区C,10.90.0.70,208核/2048GB/100GB/lgn7tne,nTeslaH20,"""0/8""",0,"CPU: - | - 
内存: - | -",- / -,nodepool-AI平台-训练任务-H20-new（cce-ig-vi94i33t）,,-,2026-01-20 17:26:51
10.90.0.101,cce-ig-kriq8lhi-9qts69zj-pfdrwhmq / i-7BTa6RPi,可用,后付费,可用区C,10.90.0.101,208核/1952GB/500GB/lgn6tcefc,H800,"""0/8""",0,"CPU: - | - 
内存: - | -",- / -,H800-nodepool（cce-ig-kriq8lhi）,,-,2025-12-29 11:30:28
10.90.0.54,cce-pog0r4mg-kbwpwqoz / i-XUNLK5Bv,可用,后付费,可用区C,10.90.0.54,208核/2048GB/500GB/lgn7tne,nTeslaH20,"""0/8""",0,"CPU: - | - 
内存: - | -",- / -,nodepool-AI平台-训练任务-H20（cce-ig-r4lv4v2p）,,-,2025-12-04 17:04:13
10.90.0.53,cce-pog0r4mg-3j8io3wr / i-wOsIj5f3,可用,后付费,可用区C,10.90.0.53,208核/2048GB/500GB/lgn7tne,nTeslaH20,"""0/8""",0,"CPU: - | - 
内存: - | -",- / -,nodepool-AI平台-训练任务-H20（cce-ig-r4lv4v2p）,,-,2025-12-02 18:07:21
10.90.0.12,cce-ig-4oau3gwh-ofd9c7u2-vq2n6gkd-2 / i-AZLhwJJ8,可用,后付费,可用区C,10.90.0.12,208核/2048GB/500GB/lgn7tne,nTeslaH20,"""0/8""",0,"CPU: - | - 
内存: - | -",- / -,nodepool-AI平台-训练任务-H20（cce-ig-r4lv4v2p）,,-,2025-12-02 18:07:21
